,pdf_name,ticker_id,submission_date,reporting_period_start,reporting_period_end,company_name,shares_issued,shares_held,approved_buyback_stocks,approved_buyback_stocks_yen,total_treasury_stocks_acquired,total_treasury_stocks_acquired_yen,cumulative_treasury_stocks_acquired,cumulative_treasury_stocks_acquired_yen,reporting_period_date,treasury_stock,treasury_stock_yen,disposed_stock,disposed_stock_yen
0,S100TEN4.pdf,E05484,2024-05-14,2024-04-01,2024-04-30,"zappallas co., ltd.",13651000.0,1634203.0,300000.0,150000000.0,57400.0,27332100.0,99700.0,48241700.0,2024-04-01,3800,1873000,,
1,,,,,,,,,,,,,,,2024-04-02,2200,1077800,,
2,,,,,,,,,,,,,,,2024-04-03,2500,1240000,,
3,,,,,,,,,,,,,,,2024-04-04,9500,4665800,,
4,,,,,,,,,,,,,,,2024-04-05,800,396200,,
5,,,,,,,,,,,,,,,2024-04-08,1400,692700,,
6,,,,,,,,,,,,,,,2024-04-09,4100,2011300,,
7,,,,,,,,,,,,,,,2024-04-10,2400,1169600,,
8,,,,,,,,,,,,,,,2024-04-11,1000,486900,,
9,,,,,,,,,,,,,,,2024-04-12,1700,827200,,
10,,,,,,,,,,,,,,,2024-04-15,800,385700,,
11,,,,,,,,,,,,,,,2024-04-16,1500,720600,,
12,,,,,,,,,,,,,,,2024-04-17,2100,996700,,
13,,,,,,,,,,,,,,,2024-04-18,6600,3084700,,
14,,,,,,,,,,,,,,,2024-04-19,8600,3898100,,
15,,,,,,,,,,,,,,,2024-04-22,1300,594500,,
16,,,,,,,,,,,,,,,2024-04-23,2000,901100,,
17,,,,,,,,,,,,,,,2024-04-24,5100,2310200,,
