,pdf_name,ticker_id,submission_date,reporting_period_start,reporting_period_end,company_name,shares_issued,shares_held,total_treasury_stocks_acquired,total_treasury_stocks_acquired_yen,reporting_period_date,treasury_stock,treasury_stock_yen,disposed_stock,disposed_stock_yen
0,S100U1SV.pdf,E00692,2024-07-12,2024-06-01,2024-06-30,toppan holdings inc.,318706240.0,5749547.0,1880600.0,8061156000.0,2024-06-03,137000,561318000,,
1,,,,,,,,,,,2024-06-04,138000,565468600,,
2,,,,,,,,,,,2024-06-05,138300,565957500,,
3,,,,,,,,,,,2024-06-06,139000,568160100,,
4,,,,,,,,,,,2024-06-07,136700,561094400,,
5,,,,,,,,,,,2024-06-10,132100,552824000,,
6,,,,,,,,,,,2024-06-11,128100,549343900,,
7,,,,,,,,,,,2024-06-12,123000,535906300,,
8,,,,,,,,,,,2024-06-13,120000,529350000,,
9,,,,,,,,,,,2024-06-14,113200,505009900,,
10,,,,,,,,,,,2024-06-17,117700,520514400,,
11,,,,,,,,,,,2024-06-18,115500,512828200,,
12,,,,,,,,,,,2024-06-19,113800,511062900,,
13,,,,,,,,,,,2024-06-20,114700,512110600,,
14,,,,,,,,,,,2024-06-21,113500,510207200,,
