,file_name,edinet_id,submission_date,reporting_period_start,reporting_period_end,company_name,shares_issued,shares_held,resolution_status_shares,resolution_status_shares_yen,total_shares_acquired,total_shares_acquired_yen,cumulative_shares_acquired,cumulative_shares_acquired_yen,reporting_period_date,acquired_shares,acquired_shares_yen,disposed_share,disposed_share_yen
0,S100RJHP_XBRL,E04988,2023-08-07,2023-07-01,2023-07-31,CRESCO LTD.,23000000.0,2364579.0,"500,000","1,000,000,000","6,000","12,495,000","440,100","881,446,400",2023-07-03,6000,12907400,,
1,,,,,,,,,,,,,,,2023-07-04,6000,12495000,,
2,,,,,,,,,,,,,,,2023-07-05,8000,16129000,,
3,,,,,,,,,,,,,,,2023-07-06,8000,15863500,,
4,,,,,,,,,,,,,,,2023-07-07,8000,15678100,,
5,,,,,,,,,,,,,,,2023-07-10,8000,15672100,,
6,,,,,,,,,,,,,,,2023-07-11,8000,15809500,,
7,,,,,,,,,,,,,,,2023-07-12,6000,11810400,,
8,,,,,,,,,,,,,,,2023-07-13,6000,11954300,,
9,,,,,,,,,,,,,,,2023-07-14,6000,12020400,,
10,,,,,,,,,,,,,,,2023-07-18,6000,12078500,,
11,,,,,,,,,,,,,,,2023-07-19,6000,12264000,,
12,,,,,,,,,,,,,,,2023-07-20,6000,12313000,,
13,,,,,,,,,,,,,,,2023-07-21,6000,12207600,,
14,,,,,,,,,,,,,,,2023-07-24,5000,10312600,,
15,,,,,,,,,,,,,,,2023-07-25,5000,10226500,,
16,,,,,,,,,,,,,,,2023-07-26,5000,10107800,,
17,,,,,,,,,,,,,,,2023-07-27,5000,10118100,,
18,,,,,,,,,,,,,,,2023-07-28,2500,5005500,,
19,,,,,,,,,,,,,,,2023-07-31,3000,6190000,,
