,file_name,edinet_id,submission_date,reporting_period_start,reporting_period_end,company_name,shares_issued,shares_held,resolution_status_shares,resolution_status_shares_yen,buyback_meeting_date,buyback_period_start,buyback_period_end,total_shares_acquired,total_shares_acquired_yen,cumulative_shares_acquired,cumulative_shares_acquired_yen,reporting_period_date,acquired_shares,acquired_shares_yen,disposed_share,disposed_share_yen
0,S100RJVX_XBRL,E01612,2023-08-07,2023-07-01,2023-07-31,"YUKEN KOGYO CO., LTD.",4510676.0,548967.0,"150,000","300,000,000",2023年５月12日,2023年５月15日,2023年12月29日,"1,300","2,706,000","65,700","133,441,300",2023-07-03,1300,2706000,,
1,,,,,,,,,,,,,,,,,,2023-07-04,1200,2548400,,
2,,,,,,,,,,,,,,,,,,2023-07-05,1300,2711900,,
3,,,,,,,,,,,,,,,,,,2023-07-06,1300,2709300,,
4,,,,,,,,,,,,,,,,,,2023-07-07,1200,2471100,,
5,,,,,,,,,,,,,,,,,,2023-07-10,1300,2651000,,
6,,,,,,,,,,,,,,,,,,2023-07-11,1300,2635800,,
7,,,,,,,,,,,,,,,,,,2023-07-12,1400,2819400,,
8,,,,,,,,,,,,,,,,,,2023-07-13,1300,2613600,,
9,,,,,,,,,,,,,,,,,,2023-07-14,1300,2609400,,
10,,,,,,,,,,,,,,,,,,2023-07-18,1400,2838800,,
11,,,,,,,,,,,,,,,,,,2023-07-19,1400,2874300,,
12,,,,,,,,,,,,,,,,,,2023-07-20,1300,2692900,,
13,,,,,,,,,,,,,,,,,,2023-07-21,1200,2468800,,
14,,,,,,,,,,,,,,,,,,2023-07-24,1400,2916200,,
15,,,,,,,,,,,,,,,,,,2023-07-25,1200,2504600,,
16,,,,,,,,,,,,,,,,,,2023-07-26,1200,2505000,,
17,,,,,,,,,,,,,,,,,,2023-07-27,1400,2933400,,
18,,,,,,,,,,,,,,,,,,2023-07-28,1400,2907600,,
19,,,,,,,,,,,,,,,,,,2023-07-31,1400,2949100,,
