,file_name,edinet_id,submission_date,reporting_period_start,reporting_period_end,company_name,shares_issued,shares_held,resolution_status_shares,resolution_status_shares_yen,buyback_meeting_date,buyback_period_start,buyback_period_end,total_shares_acquired,total_shares_acquired_yen,cumulative_shares_acquired,cumulative_shares_acquired_yen,reporting_period_date,acquired_shares,acquired_shares_yen,disposed_share,disposed_share_yen
0,S100RK2R_XBRL,E33583,2023-08-07,2023-07-01,2023-07-31,ViSCO Technologies Corporation,6448000.0,370578.0,"220,000","150,000,000",2023年５月10日,2023年５月11日,2024年2月29日,"1,200","931,800","72,000","52,881,200",2023-07-03,1200,931800,,
1,,,,,,,,,,,,,,,,,,2023-07-04,1300,1010800,,
2,,,,,,,,,,,,,,,,,,2023-07-05,1200,930800,,
3,,,,,,,,,,,,,,,,,,2023-07-06,1100,848800,,
4,,,,,,,,,,,,,,,,,,2023-07-07,1500,1174900,,
5,,,,,,,,,,,,,,,,,,2023-07-10,1400,1092600,,
6,,,,,,,,,,,,,,,,,,2023-07-11,1300,1020000,,
7,,,,,,,,,,,,,,,,,,2023-07-12,1400,1093000,,
8,,,,,,,,,,,,,,,,,,2023-07-13,1400,1075400,,
9,,,,,,,,,,,,,,,,,,2023-07-14,600,457300,,
10,,,,,,,,,,,,,,,,,,2023-07-18,1300,1009900,,
11,,,,,,,,,,,,,,,,,,2023-07-19,1200,948700,,
12,,,,,,,,,,,,,,,,,,2023-07-20,1000,802900,,
13,,,,,,,,,,,,,,,,,,2023-07-21,1300,1057700,,
14,,,,,,,,,,,,,,,,,,2023-07-24,1000,819400,,
15,,,,,,,,,,,,,,,,,,2023-07-25,600,492800,,
16,,,,,,,,,,,,,,,,,,2023-07-26,1000,831800,,
17,,,,,,,,,,,,,,,,,,2023-07-27,1200,991100,,
18,,,,,,,,,,,,,,,,,,2023-07-28,1100,893200,,
19,,,,,,,,,,,,,,,,,,2023-07-31,1200,976500,,
