,file_name,edinet_id,submission_date,reporting_period_start,reporting_period_end,company_name,shares_issued,shares_held,resolution_status_shares,resolution_status_shares_yen,buyback_meeting_date,buyback_period_start,buyback_period_end,total_shares_acquired,total_shares_acquired_yen,cumulative_shares_acquired,cumulative_shares_acquired_yen,reporting_period_date,acquired_shares,acquired_shares_yen,disposed_share,disposed_share_yen
0,S100RKD8_XBRL,E22440,2023-08-07,2023-07-01,2023-07-31,"VITAL KSK HOLDINGS,INC.",51902976.0,836079.0,"1,000,000","1,200,000,000",2023-05-12,2023-05-15,2023-09-30,"7,200","6,488,400","733,600","695,371,000",2023-06-30,,,9321820.0,7537471156.0
1,,,,,,,,,,,,,,,,,,2023-07-03,7200.0,6488400.0,,
2,,,,,,,,,,,,,,,,,,2023-07-04,7200.0,6498500.0,,
3,,,,,,,,,,,,,,,,,,2023-07-05,7200.0,6535400.0,,
4,,,,,,,,,,,,,,,,,,2023-07-06,7200.0,6563200.0,,
5,,,,,,,,,,,,,,,,,,2023-07-07,7200.0,6565900.0,,
6,,,,,,,,,,,,,,,,,,2023-07-10,7200.0,6588900.0,,
7,,,,,,,,,,,,,,,,,,2023-07-11,7200.0,6634800.0,,
8,,,,,,,,,,,,,,,,,,2023-07-12,7200.0,6544700.0,,
9,,,,,,,,,,,,,,,,,,2023-07-13,7200.0,6457000.0,,
10,,,,,,,,,,,,,,,,,,2023-07-14,7200.0,6451500.0,,
11,,,,,,,,,,,,,,,,,,2023-07-18,7200.0,6496900.0,,
12,,,,,,,,,,,,,,,,,,2023-07-19,7200.0,6594700.0,,
13,,,,,,,,,,,,,,,,,,2023-07-20,7200.0,6681100.0,,
14,,,,,,,,,,,,,,,,,,2023-07-21,7200.0,6801300.0,,
15,,,,,,,,,,,,,,,,,,2023-07-24,7200.0,6946700.0,,
16,,,,,,,,,,,,,,,,,,2023-07-25,7200.0,6969800.0,,
17,,,,,,,,,,,,,,,,,,2023-07-26,7200.0,6942900.0,,
18,,,,,,,,,,,,,,,,,,2023-07-27,7200.0,6933000.0,,
19,,,,,,,,,,,,,,,,,,2023-07-28,7200.0,6871700.0,,
20,,,,,,,,,,,,,,,,,,2023-07-31,7200.0,7105200.0,,
