,file_name,edinet_id,submission_date,reporting_period_start,reporting_period_end,company_name,shares_issued,shares_held,resolution_status_shares,resolution_status_shares_yen,total_shares_acquired,total_shares_acquired_yen,cumulative_shares_acquired,cumulative_shares_acquired_yen,reporting_period_date,acquired_shares,acquired_shares_yen,disposed_share,disposed_share_yen
0,S100RKEF_XBRL,E04289,2023-01-08,2023-07-01,2023-07-31,Japan Transcity Corporation,67142417.0,3224417.0,,,"64,400","40,594,000","385,900","241,964,000",2023-01-03,4600,2911600,,
1,,,,,,,,,,,,,,,2023-01-04,4600,2910900,,
2,,,,,,,,,,,,,,,2023-01-05,4700,2952700,,
3,,,,,,,,,,,,,,,2023-01-06,4600,2896400,,
4,,,,,,,,,,,,,,,2023-01-07,4600,2895700,,
5,,,,,,,,,,,,,,,2023-01-10,4600,2908000,,
6,,,,,,,,,,,,,,,2023-01-11,4600,2894500,,
7,,,,,,,,,,,,,,,2023-01-12,4700,2941000,,
8,,,,,,,,,,,,,,,2023-01-13,4600,2867500,,
9,,,,,,,,,,,,,,,2023-01-14,4600,2856600,,
10,,,,,,,,,,,,,,,2023-01-18,4600,2878700,,
11,,,,,,,,,,,,,,,2023-01-19,4500,2870800,,
12,,,,,,,,,,,,,,,2023-01-20,4600,2926000,,
13,,,,,,,,,,,,,,,2023-01-21,4500,2883600,,
