,file_name,edinet_id,submission_date,reporting_period_start,reporting_period_end,company_name,shares_issued,shares_held,resolution_status_shares,resolution_status_shares_yen,total_shares_acquired,total_shares_acquired_yen,cumulative_shares_acquired,cumulative_shares_acquired_yen,reporting_period_date,acquired_shares,acquired_shares_yen,disposed_share,disposed_share_yen
0,S100RKGQ_XBRL,E20870,2023-08-07,2023-07-01,2023-07-31,"MS&Consulting Co., Ltd.",4530100.0,524069.0,"300,000","200,000,000","3,900","2,445,800","253,500","156,687,000",2023-07-03,3900,2445800,,
1,,,,,,,,,,,,,,,2023-07-04,4800,3059500,,
2,,,,,,,,,,,,,,,2023-07-05,3000,1893500,,
3,,,,,,,,,,,,,,,2023-07-06,7900,4961000,4800.0,2928000.0
4,,,,,,,,,,,,,,,2023-07-07,7700,4942700,,
5,,,,,,,,,,,,,,,2023-07-10,8500,4974800,,
6,,,,,,,,,,,,,,,2023-07-11,8400,4973200,,
7,,,,,,,,,,,,,,,2023-07-12,8200,4965500,,
8,,,,,,,,,,,,,,,2023-07-13,1800,1084600,,
9,,,,,,,,,,,,,,,2023-07-14,8200,4968600,,
10,,,,,,,,,,,,,,,2023-07-18,2800,1678300,,
11,,,,,,,,,,,,,,,2023-07-19,4300,2600300,,
12,,,,,,,,,,,,,,,2023-07-20,4300,2626600,,
13,,,,,,,,,,,,,,,2023-07-21,3200,1963300,,
14,,,,,,,,,,,,,,,2023-07-24,2700,1675200,,
15,,,,,,,,,,,,,,,2023-07-25,7800,4956000,,
16,,,,,,,,,,,,,,,2023-07-26,7600,4962600,,
17,,,,,,,,,,,,,,,2023-07-27,7400,4992900,,
18,,,,,,,,,,,,,,,2023-07-28,7200,4972700,,
19,,,,,,,,,,,,,,,2023-07-31,6900,4997800,,
