,file_name,edinet_id,submission_date,reporting_period_start,reporting_period_end,company_name,shares_issued,shares_held,resolution_status_shares,resolution_status_shares_yen,buyback_meeting_date,buyback_period_start,buyback_period_end,total_shares_acquired,total_shares_acquired_yen,cumulative_shares_acquired,cumulative_shares_acquired_yen,reporting_period_date,acquired_shares,acquired_shares_yen,disposed_share,disposed_share_yen
0,S100U72K_XBRL,E00065,2024-08-09,2024-07-01,2024-07-31,TEKKEN CORPORATION,15668956.0,1378736.0,"1,700,000","3,000,000,000",2024-02-14,2024-02-15,2024-12-30,"6,100","15,920,100","864,300","2,265,810,500",2024-07-01,6100,15920100,,
1,,,,,,,,,,,,,,,,,,2024-07-02,6000,15589900,,
2,,,,,,,,,,,,,,,,,,2024-07-03,6000,15559700,,
3,,,,,,,,,,,,,,,,,,2024-07-04,7400,19292500,,
4,,,,,,,,,,,,,,,,,,2024-07-05,7300,18944300,,
5,,,,,,,,,,,,,,,,,,2024-07-08,6400,16243600,,
6,,,,,,,,,,,,,,,,,,2024-07-09,9500,24409100,,
7,,,,,,,,,,,,,,,,,,2024-07-10,8500,22024800,,
8,,,,,,,,,,,,,,,,,,2024-07-11,25500,65990600,,
9,,,,,,,,,,,,,,,,,,2024-07-12,6400,16603200,,
10,,,,,,,,,,,,,,,,,,2024-07-16,14500,37970900,,
11,,,,,,,,,,,,,,,,,,2024-07-17,3300,8681200,,
12,,,,,,,,,,,,,,,,,,2024-07-18,3800,9921500,,
13,,,,,,,,,,,,,,,,,,2024-07-19,4900,12596700,,
14,,,,,,,,,,,,,,,,,,2024-07-22,4800,12126000,,
15,,,,,,,,,,,,,,,,,,2024-07-23,3900,9823500,,
16,,,,,,,,,,,,,,,,,,2024-07-24,9700,24185700,,
17,,,,,,,,,,,,,,,,,,2024-07-25,12100,29881200,,
18,,,,,,,,,,,,,,,,,,2024-07-26,3700,9155900,,
19,,,,,,,,,,,,,,,,,,2024-07-29,6700,16907800,,
20,,,,,,,,,,,,,,,,,,2024-07-30,5100,12764200,,
21,,,,,,,,,,,,,,,,,,2024-07-31,10600,27136000,,
