,file_name,edinet_id,submission_date,reporting_period_start,reporting_period_end,company_name,shares_issued,shares_held,resolution_status_shares,resolution_status_shares_yen,buyback_meeting_date,buyback_period_start,buyback_period_end,total_shares_acquired,total_shares_acquired_yen,cumulative_shares_acquired,cumulative_shares_acquired_yen,reporting_period_date,acquired_shares,acquired_shares_yen,disposed_share,disposed_share_yen
0,error_disposal_shares_XBRL,E02703,2024-07-03,2024-06-01,2024-06-30,"MORITO CO., LTD.",30000000.0,2984574.0,"500,000","800,000,000",2024-02-28,2024-03-01,2025-01-14,"49,900","72,833,700","197,400","294,713,800",2024-06-03,2500,3654400,,
1,,,,,,,,,,,,,,,,,,2024-06-04,2500,3644500,,
2,,,,,,,,,,,,,,,,,,2024-06-05,2500,3605800,,
3,,,,,,,,,,,,,,,,,,2024-06-06,2500,3567000,,
4,,,,,,,,,,,,,,,,,,2024-06-07,2400,3391200,,
5,,,,,,,,,,,,,,,,,,2024-06-10,2600,3742900,,
6,,,,,,,,,,,,,,,,,,2024-06-11,2500,3610100,,
7,,,,,,,,,,,,,,,,,,2024-06-12,2500,3600600,,
8,,,,,,,,,,,,,,,,,,2024-06-13,2500,3533000,,
9,,,,,,,,,,,,,,,,,,2024-06-14,2500,3567400,,
10,,,,,,,,,,,,,,,,,,2024-06-17,2500,3538700,,
11,,,,,,,,,,,,,,,,,,2024-06-18,2500,3594200,,
12,,,,,,,,,,,,,,,,,,2024-06-19,2500,3668300,,
13,,,,,,,,,,,,,,,,,,2024-06-20,2500,3713000,,
14,,,,,,,,,,,,,,,,,,2024-06-21,2500,3740600,,
15,,,,,,,,,,,,,,,,,,2024-06-24,2500,3734700,,
16,,,,,,,,,,,,,,,,,,2024-06-25,2500,3775700,,
17,,,,,,,,,,,,,,,,,,2024-06-26,2500,3785900,,
18,,,,,,,,,,,,,,,,,,2024-06-27,2500,3777900,,
19,,,,,,,,,,,,,,,,,,2024-06-28,2400,3587800,,
