,file_name,edinet_id,submission_date,reporting_period_start,reporting_period_end,company_name,shares_issued,shares_held,resolution_status_shares,resolution_status_shares_yen,buyback_meeting_date,buyback_period_start,buyback_period_end,total_shares_acquired,total_shares_acquired_yen,cumulative_shares_acquired,cumulative_shares_acquired_yen,reporting_period_date,acquired_shares,acquired_shares_yen,disposed_share,disposed_share_yen
0,toyota_20240213_XBRL,E02144,2024-02-13,2024-01-01,2024-01-31,TOYOTA MOTOR CORPORATION,16314987460.0,2831119642.0,11,"83,500",2023年11月１日,2023年11月２日,2024年４月30日,"150,000","426,204,450","17,353,900","47,855,442,600",2024-01-11,83500,237721100,,
1,,,,,,,,,,,,,,,,,,2024-01-12,150000,426204450,,
2,,,,,,,,,,,,,,,,,,2024-01-15,50000,142754900,,
3,,,,,,,,,,,,,,,,,,2024-01-16,119000,339663550,,
4,,,,,,,,,,,,,,,,,,2024-01-17,200000,574904900,,
5,,,,,,,,,,,,,,,,,,2024-01-18,150000,439467600,,
6,,,,,,,,,,,,,,,,,,2024-01-19,155500,459156300,,
7,,,,,,,,,,,,,,,,,,2024-01-22,129200,383962150,,
8,,,,,,,,,,,,,,,,,,2024-01-23,160900,483119350,,
9,,,,,,,,,,,,,,,,,,2024-01-24,165000,491533650,,
10,,,,,,,,,,,,,,,,,,2024-01-25,202900,599951300,,
11,,,,,,,,,,,,,,,,,,2024-01-26,250000,726099000,,
12,,,,,,,,,,,,,,,,,,2024-01-29,165500,491503700,,
13,,,,,,,,,,,,,,,,,,2024-01-30,45600,134970350,,
14,,,,,,,,,,,,,,,,,,2024-01-31,121600,361030900,,
