,pdf_name,ticker_id,submission_date,reporting_period_start,reporting_period_end,company_name,shares_issued,shares_held,approved_buyback_stocks,approved_buyback_stocks_yen,total_treasury_stocks_acquired,total_treasury_stocks_acquired_yen,cumulative_treasury_stocks_acquired,cumulative_treasury_stocks_acquired_yen,reporting_period_date,treasury_stock,treasury_stock_yen,disposed_stock,disposed_stock_yen
0,S100TE73.pdf,E01367,2024-05-14,2024-04-01,2024-04-30,"nhk spring co., ltd.",244066144.0,25324167.0,12000000.0,18000000000.0,3640000.0,5572303670.0,,,2024-04-01,132400,194127806,,
1,,,,,,,,,,,,,,,2024-04-02,106900,156171300,,
2,,,,,,,,,,,,,,,2024-04-03,102400,150315048,,
3,,,,,,,,,,,,,,,2024-04-04,119700,179225948,,
4,,,,,,,,,,,,,,,2024-04-05,94800,141026300,,
5,,,,,,,,,,,,,,,2024-04-08,175000,265181700,,
6,,,,,,,,,,,,,,,2024-04-09,154600,236631393,,
7,,,,,,,,,,,,,,,2024-04-10,73600,113049298,,
8,,,,,,,,,,,,,,,2024-04-11,114600,175557401,,
9,,,,,,,,,,,,,,,2024-04-12,127000,196442152,,
10,,,,,,,,,,,,,,,2024-04-15,155300,240367656,,
11,,,,,,,,,,,,,,,2024-04-16,172800,264675548,,
12,,,,,,,,,,,,,,,2024-04-17,228600,342840541,,
13,,,,,,,,,,,,,,,2024-04-18,161900,244115151,,
14,,,,,,,,,,,,,,,2024-04-19,174400,258979500,,
15,,,,,,,,,,,,,,,2024-04-22,135300,203333994,,
16,,,,,,,,,,,,,,,2024-04-23,145600,217831796,,
17,,,,,,,,,,,,,,,2024-04-24,189000,289627455,,
18,,,,,,,,,,,,,,,2024-04-25,351500,551321739,,
19,,,,,,,,,,,,,,,2024-04-26,353200,558315142,,
20,,,,,,,,,,,,,,,2024-04-30,371400,593166802,,
