,pdf_name,ticker_id,submission_date,reporting_period_start,reporting_period_end,company_name,shares_issued,shares_held,approved_buyback_stocks,approved_buyback_stocks_yen,total_treasury_stocks_acquired,total_treasury_stocks_acquired_yen,cumulative_treasury_stocks_acquired,cumulative_treasury_stocks_acquired_yen,reporting_period_date,treasury_stock,treasury_stock_yen,disposed_stock,disposed_stock_yen
0,S100TERB.pdf,E00075,2024-05-14,2024-04-01,2024-04-30,"kinden co., ltd.",202641080.0,1673266.0,4500000.0,8000000000.0,295000.0,839668541.0,,,2024-04-03,17100,45833200,,
1,,,,,,,,,,,,,,,2024-04-04,19100,50294400,,
2,,,,,,,,,,,,,,,2024-04-05,20500,53346699,,
3,,,,,,,,,,,,,,,2024-04-08,19800,51810850,,
4,,,,,,,,,,,,,,,2024-04-09,20000,52225250,,
5,,,,,,,,,,,,,,,2024-04-10,17900,47628549,,
6,,,,,,,,,,,,,,,2024-04-11,17300,46243849,,
7,,,,,,,,,,,,,,,2024-04-12,14600,41112950,,
8,,,,,,,,,,,,,,,2024-04-15,13900,41087300,,
9,,,,,,,,,,,,,,,2024-04-16,13600,41115400,,
10,,,,,,,,,,,,,,,2024-04-17,13,400,,
11,,,,,,,,,,,,,,,2024-04-18,13500,40914100,,
12,,,,,,,,,,,,,,,2024-04-19,13700,41063849,,
13,,,,,,,,,,,,,,,2024-04-22,13600,40915050,,
14,,,,,,,,,,,,,,,2024-04-23,13600,41014949,,
15,,,,,,,,,,,,,,,2024-04-24,13500,41126499,,
16,,,,,,,,,,,,,,,2024-04-25,13300,41046800,,
17,,,,,,,,,,,,,,,2024-04-26,13200,40961599,,
18,,,,,,,,,,,,,,,2024-04-30,13400,40945199,,
