"ticker","edinet_code","stock_eng_name","stock_jp_name","fiscal_period","fiscal_period_end_dt","filing_dt","shareholder_name","shares","percentage"
"8604 JP","E03752","Nomura Holdings, Inc.","野村ホールディングス株式会社","FY","2020-03-31","2020-06-30","日本マスタートラスト信託銀行株式会社（信託口）",228152000,0.0653064009600668
"8604 JP","E03752","Nomura Holdings, Inc.","野村ホールディングス株式会社","FY","2020-03-31","2020-06-30","日本トラスティ・サービス信託銀行株式会社（信託口）",163096000,0.0466847223385421
"8604 JP","E03752","Nomura Holdings, Inc.","野村ホールディングス株式会社","FY","2020-03-31","2020-06-30","日本トラスティ・サービス信託銀行株式会社（信託口５）",70680000,0.0202314966331986
"8604 JP","E03752","Nomura Holdings, Inc.","野村ホールディングス株式会社","FY","2020-03-31","2020-06-30","JP MORGAN CHASE BANK 385151（常任代理人　株式会社みずほ銀行）",53546000,0.0153270475201083
"8604 JP","E03752","Nomura Holdings, Inc.","野村ホールディングス株式会社","FY","2020-03-31","2020-06-30","NORTHERN TRUST CO.（AVFC） RE SILCHESTER INTERNATIONAL INVESTORS INTERNATIONAL VALUE EQUITY TRUST（常任代理人　香港上海銀行東京支店）",51872000,0.0148478804945851
"8604 JP","E03752","Nomura Holdings, Inc.","野村ホールディングス株式会社","FY","2020-03-31","2020-06-30","日本トラスティ・サービス信託銀行株式会社（信託口７）",50758000,0.014529008292415
"8604 JP","E03752","Nomura Holdings, Inc.","野村ホールディングス株式会社","FY","2020-03-31","2020-06-30","STATE STREET BANK WEST CLIENT-TREATY 505234（常任代理人　株式会社みずほ銀行）",49110000,0.0140572835265476
"8604 JP","E03752","Nomura Holdings, Inc.","野村ホールディングス株式会社","FY","2020-03-31","2020-06-30","NORTHERN TRUST CO.（AVFC） RE U.S. TAX EXEMPTED PENTION FUNDS（常任代理人　香港上海銀行東京支店）",39176000,0.0112137678565675
"8604 JP","E03752","Nomura Holdings, Inc.","野村ホールディングス株式会社","FY","2020-03-31","2020-06-30","日本トラスティ・サービス信託銀行株式会社（信託口１）",36260000,0.0103790898121078
"8604 JP","E03752","Nomura Holdings, Inc.","野村ホールディングス株式会社","FY","2020-03-31","2020-06-30","SSBTC CLIENT OMNIBUS ACCOUNT（常任代理人　香港上海銀行東京支店）",34172000,0.00978141911360586
"8604 JP","E03752","Nomura Holdings, Inc.","野村ホールディングス株式会社","FY","2020-03-31","2020-06-30","top_10_total",776822000,0.222358116547745
"8604 JP","E03752","Nomura Holdings, Inc.","野村ホールディングス株式会社","FY","2020-03-31","2020-06-30","treasury",454625100,0.130132232314906
"8604 JP","E03752","Nomura Holdings, Inc.","野村ホールディングス株式会社","FY","2020-03-31","2020-06-30","total",3493562601,1
"8604 JP","E03752","Nomura Holdings, Inc.","野村ホールディングス株式会社","Q2","2020-09-30","2020-11-16","日本マスタートラスト信託銀行株式会社（信託口）",229825000,0.065785281744834
"8604 JP","E03752","Nomura Holdings, Inc.","野村ホールディングス株式会社","Q2","2020-09-30","2020-11-16","株式会社日本カストディ銀行（信託口）",157207000,0.0449990505265316
"8604 JP","E03752","Nomura Holdings, Inc.","野村ホールディングス株式会社","Q2","2020-09-30","2020-11-16","SMBC日興証券株式会社",85784000,0.0245548770116342
"8604 JP","E03752","Nomura Holdings, Inc.","野村ホールディングス株式会社","Q2","2020-09-30","2020-11-16","株式会社日本カストディ銀行（信託口５）",72363000,0.0207132398255256
